scope,artifact,aggregation,window_s,selected_k,cluster_id,feature_name,rank,cluster_value,global_value,delta_vs_global,value_space,method,cut_mode,cut_value,linkage
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,mask_NTFS_file_stat,1,7376.040540540541,185.0118018967334,7191.028738643808,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_ntfs,2,6267.945945945946,153.55405690200212,6114.391889043944,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,mask_File_stat,3,6267.945945945946,153.55532139093782,6114.390624555008,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,has_macb_accessed,4,5905.405405405405,124.7567966280295,5780.648608777376,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_standard_info,5,5271.851351351352,138.01243414120125,5133.838917210151,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_file_entry,6,4879.445945945946,128.95700737618546,4750.488938569761,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_file,7,4879.445945945946,128.9582718651212,4750.487674080825,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,has_sha256,8,4879.391891891892,128.95742887249736,4750.434463019395,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_accessed,9,4824.013513513513,94.25542676501581,4729.758086748498,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,has_macb_modified,10,2216.527027027027,68.12202318229716,2148.40500384473,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_filename_attr,11,2104.189189189189,46.99936775553214,2057.189821433657,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_in_winsxs,12,2055.135135135135,32.76796628029505,2022.36716885484,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,is_executable,13,747.4459459459459,13.689567966280295,733.7563779796657,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,IsDynamicLibrary,14,612.0540540540541,11.30326659641728,600.7507874576368,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,0,mask_WinEVTX,15,583.6351351351351,20.164383561643834,563.4707515734913,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,mask_NTFS_file_stat,1,1907.8,185.0118018967334,1722.7881981032665,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,has_macb_accessed,2,1344.0,124.7567966280295,1219.2432033719706,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,is_standard_info,3,1334.9,138.01243414120125,1196.8875658587988,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,has_macb_modified,4,1234.8,68.12202318229716,1166.6779768177028,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,mask_Registry_Key,5,1061.85,10.684510010537409,1051.1654899894625,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,is_ntfs,6,986.35,153.55405690200212,832.7959430979979,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,mask_File_stat,7,986.35,153.55532139093782,832.7946786090622,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,is_file_entry,8,877.25,128.95700737618546,748.2929926238146,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,has_sha256,9,877.25,128.95742887249736,748.2925711275027,raw_mean,agglomerative,distance,195.33969972925615,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,8,1,is_file,10,877.25,128.9582718651212,748.2917281348788,raw_mean,agglomerative,distance,195.33969972925615,ward
