window_id,row_idx,time_cluster,global_shannon_entropy,global_permutation_entropy,global_dispersion_entropy,global_shannon_entropy_diff,global_shannon_entropy_diff_abs,global_shannon_entropy_spike_score,global_shannon_entropy_spike,global_permutation_entropy_diff,global_permutation_entropy_diff_abs,global_permutation_entropy_spike_score,global_permutation_entropy_spike,global_dispersion_entropy_diff,global_dispersion_entropy_diff_abs,global_dispersion_entropy_spike_score,global_dispersion_entropy_spike
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::0,0,2022-02-04 07:05:00,0.4955484138922619,0.326525665707996,0.1865834344442326,,,,False,,,,False,,,,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::1,1,2022-02-04 07:06:00,0.4909847874208058,0.3034841373237111,0.1821143996853272,-0.004563626471456,0.004563626471456,0.201929256095966,False,-0.0230415283842849,0.0230415283842849,1.5131202607295264,False,-0.0044690347589053,0.0044690347589053,0.4053946689065676,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::2,2,2022-02-04 07:07:00,0.4088154836161712,0.2640361345613319,0.1537452028127268,-0.0821693038046346,0.0821693038046346,3.635789759519756,False,-0.0394480027623791,0.0394480027623791,2.602429356640553,False,-0.0283691968726004,0.0283691968726004,2.658905608222783,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::3,3,2022-02-04 07:08:00,0.5008220742735687,0.3184986255401234,0.1876740828898837,0.0920065906573975,0.0920065906573975,4.071065527290301,False,0.0544624909787914,0.0544624909787914,3.6327649133934616,False,0.0339288800771569,0.0339288800771569,3.2150879336116645,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::4,4,2022-02-04 07:09:00,0.5226104808961441,0.354245221010841,0.1975898285998563,0.0217884066225754,0.0217884066225754,0.9640834473048552,False,0.0357465954707175,0.0357465954707175,2.3901216284786755,False,0.0099157457099725,0.0099157457099725,0.9509250075906694,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::5,5,2022-02-04 07:10:00,0.5225855667054171,0.3292679686056574,0.1935713277318375,-2.491419072703227e-05,2.491419072703227e-05,0.0011023917122072,False,-0.0249772524051836,0.0249772524051836,1.6416428021692493,False,-0.0040185008680187,0.0040185008680187,0.3629144946376353,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::6,6,2022-02-04 07:11:00,0.532837604689596,0.3335574315480986,0.1984296130554266,0.0102520379841788,0.0102520379841788,0.453627486070809,False,0.0042894629424412,0.0042894629424412,0.3015229567200098,False,0.0048582853235891,0.0048582853235891,0.4740645473286521,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::7,7,2022-02-04 07:12:00,0.477269370529841,0.3100965842009781,0.1822658324852568,-0.0555682341597549,0.0555682341597549,2.458757800759623,False,-0.0234608473471205,0.0234608473471205,1.5409609746927044,False,-0.0161637805701697,0.0161637805701697,1.5080749558785806,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::8,8,2022-02-04 07:13:00,0.5374250934783408,0.3241308397651302,0.1964989390174261,0.0601557229484997,0.0601557229484997,2.661742905753166,False,0.0140342555641521,0.0140342555641521,0.948529193158572,False,0.0142331065321692,0.0142331065321692,1.3580025744922166,False
parquet_data\Magnet_CTF_2022_Windows_Laptop\agg_sum_Magnet_CTF_2022_Windows_Laptop_60s.parquet::9,9,2022-02-04 07:14:00,0.5442845109999926,0.3522705704044794,0.2035983021759754,0.0068594175216518,0.0068594175216518,0.3035123680831961,False,0.0281397306393491,0.0281397306393491,1.885063267906155,False,0.0070993631585493,0.0070993631585493,0.685372462016313,False
