scope,artifact,aggregation,window_s,selected_k,cluster_id,cluster_size,dominant_artifact,dominant_artifact_frac,row_nonzero_mean,row_nonzero_median,row_nonzero_p95,row_nonzero_lift_vs_global,row_signal_mean,row_signal_median,row_signal_p95,row_signal_lift_vs_global,phase_pre_count,phase_incident_count,phase_post_count,phase_pre_frac,phase_incident_frac,phase_post_frac,top_features,method,cut_mode,cut_value,linkage
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,0,19,Magnet_CTF_2022_Windows_Laptop,1.0,41.68421052631579,43.0,56.199999999999996,7.210250034535156,15631.0,767.0,58154.89999999984,10.141392591401493,10,0,9,0.5263157894736842,0.0,0.47368421052631576,is_system_path | mask_Windows_Shortcut | MissingMInMACB | macb_is_only_access_birth | is_user_profile_shortcut,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,1,15,Magnet_CTF_2022_Windows_Laptop,1.0,46.333333333333336,48.0,58.3,8.014423544279188,100801.6,40625.0,276095.8,65.40007673478452,11,0,4,0.7333333333333333,0.0,0.26666666666666666,is_system_location | opened_control_panel | is_in_system32 | is_from_system32 | contains_vbs,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,2,63,Magnet_CTF_2022_Windows_Laptop,1.0,29.634920634920636,26.0,44.0,5.126046165525605,4220.222222222223,533.0,23909.5,2.738080121458153,45,0,18,0.7142857142857143,0.0,0.2857142857142857,visited_msn | has_transition_type | mask_Chrome_History | is_https | is_night_access,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,3,14,Magnet_CTF_2022_Windows_Laptop,1.0,45.214285714285715,48.0,66.4,7.820858330208724,18242.714285714286,2400.5,97693.9,11.835872785119124,6,0,8,0.42857142857142855,0.0,0.5714285714285714,is_content_cache | is_content_container | contains_path_recent | mask_MRUListEx_Registry_Key | is_repeated_record,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,4,140,Magnet_CTF_2022_Windows_Laptop,1.0,30.6,30.0,48.0,5.292979002624672,33614.09285714286,3217.5,165389.9999999999,21.808822997128168,91,0,49,0.65,0.0,0.35,is_system_process | mask_WinPrefetch | is_run_often | mask_WinEVTX | is_file_entry,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,5,688,Magnet_CTF_2022_Windows_Laptop,1.0,16.377906976744185,16.0,27.0,2.8329384880668984,211.9156976744186,115.0,472.1499999999993,0.13749090182310966,415,0,273,0.6031976744186046,0.0,0.39680232558139533,is_modified_after_access | event_powershell | is_frequent_execution | is_service_event | is_run_often,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,6,1,Magnet_CTF_2022_Windows_Laptop,1.0,31.0,31.0,31.0,5.3621682706328375,214.0,214.0,214.0,0.13884319714413149,0,0,1,0.0,0.0,1.0,accessed_appdata | accessed_network_path | is_user_location | multiple_entries | mask_MRUList_Registry_Key,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,7,4,Magnet_CTF_2022_Windows_Laptop,1.0,50.0,58.5,59.0,8.648658501020705,10916.25,13107.5,16760.6,7.08246285432068,3,0,1,0.75,0.0,0.25,contains_appdata_path | suspicious_executable | mask_Run_Run_Once_Registry_Key | HasCommandArguments | UsesQuotesInPath,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,8,1,Magnet_CTF_2022_Windows_Laptop,1.0,65.0,65.0,65.0,11.243256051326917,11557.0,11557.0,11557.0,7.498181445769755,0,0,1,0.0,0.0,1.0,mask_USB_Registry_Key | is_usb_hub | is_login_event | IsSystemHive | is_terminal_services,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,9,1,Magnet_CTF_2022_Windows_Laptop,1.0,60.0,60.0,60.0,10.378390201224846,46078.0,46078.0,46078.0,29.895405785080797,1,0,0,1.0,0.0,0.0,is_from_pinned_location | is_unusual_location | contains_cab | contains_ppd | task_starts_at_boot,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,11,10,3799,Magnet_CTF_2022_Windows_Laptop,1.0,1.9839431429323506,0.0,12.099999999999909,0.34316893457327224,7.878915504080021,0.0,45.09999999999991,0.005111840273901573,2224,1,1574,0.5854172150565938,0.00026322716504343247,0.4143195577783627,is_run_often | mask_WinPrefetch | is_system_process | is_service_event | mask_WinEVTX,agglomerative,k,11,ward
