scope,artifact,aggregation,window_s,selected_k,cluster_id,feature_name,rank,cluster_value,global_value,delta_vs_global,global_std,score_std,direction,value_space,method,cut_mode,cut_value,linkage
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,has_modified_flag,1,1.0,0.16494221243808477,0.8350577875619152,0.3711283861335784,2.250050915698073,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,is_filename_attr,2,0.9976415094339622,0.16609796367638965,0.8315435457575726,0.3721685507118333,2.2343196968790418,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,is_unallocated,3,0.41273584905660377,0.03065492570170611,0.38208092335489763,0.17238097700131816,2.216491099171952,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,has_macb_modified,4,1.0,0.17572922399559715,0.8242707760044028,0.38058962653953454,2.165773044949373,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,has_sha256,5,1.0,0.17677490368739682,0.8232250963126032,0.3814780951951349,2.15798779825517,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,is_file,6,1.0,0.17677490368739682,0.8232250963126032,0.3814780951951349,2.15798779825517,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,is_file_entry,7,1.0,0.17677490368739682,0.8232250963126032,0.3814780951951349,2.15798779825517,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,is_ntfs,8,1.0,0.1782608695652174,0.8217391304347826,0.38273219350750987,2.147034200164081,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,mask_File_stat,9,1.0,0.1782608695652174,0.8217391304347826,0.38273219350750987,2.147034200164081,elevated,binary_mean,agglomerative,k,11,ward
per_dataset,Magnet_CTF_2019_Windows_Desktop,max,60,11,0,is_standard_info,10,1.0,0.18381948266373144,0.8161805173362686,0.3873369082039169,2.107159113881789,elevated,binary_mean,agglomerative,k,11,ward
